Back to 3000 ELO,
https://youtu.be/lWVZLZdQHcY?si=ocjoGEYP1PTBJzQ1&t=20,https://www.chess.com/game/live/5774908570?username=senseidanya
https://youtu.be/lWVZLZdQHcY?si=IOZfsT7Die-P4-18&t=408,https://www.chess.com/game/live/5774931075?username=senseidanya
https://youtu.be/cdEASsRLWcg?si=js5-NBJ3apEa9H2G&t=9,https://www.chess.com/game/live/5775052599?username=senseidanya
https://youtu.be/cdEASsRLWcg?si=VIeTq-I6ZK1IsiFQ&t=1311,https://www.chess.com/game/live/5775130210?username=senseidanya
https://youtu.be/cdEASsRLWcg?si=OxO9kMjV0Qy4yQmj&t=2039,https://www.chess.com/game/live/5775273658?username=senseidanya
https://youtu.be/J6MDnL_B83w?si=N433QFKeHOXAJUib&t=10,https://www.chess.com/game/live/5795849182?username=senseidanya
https://youtu.be/J6MDnL_B83w?si=6XJrh5jMHjtyxK3V&t=878,https://www.chess.com/game/live/5795911006?username=senseidanya
https://youtu.be/OwrIaWwPJvM?si=KidJrjDa82OUMjjG&t=25,https://www.chess.com/game/live/5802933815?username=senseidanya
https://youtu.be/OwrIaWwPJvM?si=CwmzxnuPD2aFv5EP&t=695,https://www.chess.com/game/live/5802980332?username=senseidanya
https://youtu.be/U8zArIhxato?si=489hmIbsSVVYmMVe&t=6,https://www.chess.com/game/live/5821733499?username=senseidanya
https://youtu.be/U8zArIhxato?si=gcp8V2RXNANtsgwy&t=306,https://www.chess.com/game/live/5821757553?username=senseidanya
https://youtu.be/U8zArIhxato?si=4_OYyhS4mI7eenMO&t=622,https://www.chess.com/game/live/5821782803?username=senseidanya
https://youtu.be/U8zArIhxato?si=QdEinIfj7ztszWmA&t=1249,https://www.chess.com/game/live/5821831418?username=senseidanya
https://youtu.be/ii1vl5wLPWU?si=1sxi6zVprSi_xkFC&t=34,https://www.chess.com/game/live/5830658526?username=senseidanya
https://youtu.be/ii1vl5wLPWU?si=l_QA8y_BgxeA65H3&t=1021,https://www.chess.com/game/live/5830717350?username=senseidanya
https://youtu.be/ii1vl5wLPWU?si=40bJSGxqpjbuUdvi&t=1485,https://www.chess.com/game/live/5830745215?username=senseidanya
https://youtu.be/FqVMAv3wKes?si=A2X0wW9Oo_oAlzvk&t=1,https://www.chess.com/game/live/5830821407?username=senseidanya
https://youtu.be/FqVMAv3wKes?si=yYvYz2wSuOtLzrgN&t=93,https://www.chess.com/game/live/5830829526?username=senseidanya
https://youtu.be/FqVMAv3wKes?si=Q8_jitEt3APlEpfe&t=815,https://www.chess.com/game/live/5830878277?username=senseidanya
