The Sensei Speedrun,
https://youtu.be/QOb_ElHrC14?si=DzqXGjSzONP7GNsu&t=8,https://www.chess.com/game/live/40115410563?username=senseidanya
https://youtu.be/mCB8n7v0MEA?si=GV24VP3HBCXK7nU3&t=8,https://www.chess.com/game/live/40281018515?username=senseidanya
https://youtu.be/Wwp9E6P-AHo?si=VJJIMQR150_3zOB-&t=15,https://www.chess.com/game/live/40546817877?username=senseidanya
https://youtu.be/l65FZlRkWcM?si=pDAaG3xwaxvLBGH3&t=13,https://www.chess.com/game/live/40635622163?username=senseidanya
https://youtu.be/7xgOCneMX8s?si=BWY04Qi7B4Vw2nam&t=10,https://www.chess.com/game/live/40636823143?username=senseidanya
https://youtu.be/Mre1JH64oWs?si=_MV2dWVSSnMUoyex&t=11,https://www.chess.com/game/live/40721376233?username=senseidanya
https://youtu.be/k7R9Omne_1Y?si=aiAnAhigevgBZMuM&t=8,https://www.chess.com/game/live/40722553431?username=senseidanya
https://youtu.be/9XUJ2GmQ2CU?si=ZRwQE7QUctTpkBS5&t=8,https://www.chess.com/game/live/40804125591?username=senseidanya
https://youtu.be/ofUcXj4ArHA?si=JWZ--0_pRGbBV4jG&t=7,https://www.chess.com/game/live/40892381473?username=senseidanya
https://youtu.be/X6HE6h1OjRQ?si=AigrXW1BPXwbcH1R&t=8,https://www.chess.com/game/live/41233810947?username=senseidanya
https://youtu.be/nRdpLwXRIk4?si=y9m2ZrChOEV4btZf&t=11,https://www.chess.com/game/live/41235027185?username=senseidanya
https://youtu.be/_JQ-AH3OYQ4?si=v_tUg8X1hsgJZm8c&t=485,https://www.chess.com/game/live/41319564895?username=senseidanya
https://youtu.be/vB8yLBR5lHs?si=kwoKqojzL50IRirM&t=10,https://www.chess.com/game/live/41582393949?username=senseidanya
https://youtu.be/vH3fLZ7Y4YM?si=TiAModkqdFxM0763&t=9,https://www.chess.com/game/live/41843951049?username=senseidanya
https://youtu.be/GbY7R4GYN_M?si=1UjFS-xkTG8MMGax&t=23,https://www.chess.com/game/live/42617925247?username=senseidanya
https://youtu.be/zmdiLoeqFyU?si=GqTEX6lmDsAA4Mr4&t=10,https://www.chess.com/game/live/43055933187?username=senseidanya
https://youtu.be/sqVkwtfaFwI?si=a8sW_pjeHX1VZfj9&t=61,https://www.chess.com/game/live/43312174347?username=senseidanya
https://youtu.be/hw9tEjYabd8?si=xsmTfx8ehJVdx-Kc&t=8,https://www.chess.com/game/live/43313937205?username=senseidanya
https://youtu.be/Dj_hLEdDpAg?si=_jaX6E0gmIKiRlTz&t=8,https://www.chess.com/game/live/43655970613?username=senseidanya
https://youtu.be/FtTdaYxkDeY?si=Lhr0SXR54y4WI5gx&t=9,https://www.chess.com/game/live/43830852499?username=senseidanya
https://youtu.be/i8G7wozMNcU?si=eOGFoSi3qcCnHlkx&t=8,https://www.chess.com/game/live/44001885093?username=senseidanya
https://youtu.be/Z5QLUtjiGFg?si=OXB1K-qR2Fn1vPUK&t=8,https://www.chess.com/game/live/44003049241?username=senseidanya
https://youtu.be/3XUh57mV8a8?si=se1in56rNTyFWpWv&t=8,https://www.chess.com/game/live/44606941279?username=senseidanya
https://youtu.be/U7pqt57VwuU?si=twNaGav04oYB1Al4&t=9,https://www.chess.com/game/live/45640776111?username=senseidanya
https://youtu.be/1zfJ7ABoh8k?si=y27ZPPOBEyQw8Ixv&t=9,https://www.chess.com/game/live/45813018709?username=senseidanya
https://youtu.be/Es8YFQCP2TM?si=CdLXAcxfyZ26Yiiq&t=7,https://www.chess.com/game/live/45987566193?username=senseidanya
https://youtu.be/LYStFYLTCno?si=FDMYY_YW66JNRQPz&t=15,https://www.chess.com/game/live/47801988239?username=senseidanya
https://youtu.be/jwFOi039eeg?si=P62ETZpphWEtB75z&t=9,https://www.chess.com/game/live/48406788433?username=senseidanya
https://youtu.be/kbQl_tsSo8w?si=fHAVZdJp9bFujfIY&t=11,https://www.chess.com/game/live/48577186749?username=senseidanya
https://youtu.be/d-CFu7RMVoY?si=gOvpYQ1cWR4eHBqD&t=21,https://www.chess.com/game/live/48580800407?username=senseidanya
https://youtu.be/NQQnQ9X9dL8?si=Hf9xMXykm4-aR4Wf&t=9,https://www.chess.com/game/live/50161730097?username=senseidanya
https://youtu.be/INCkZzSMk98?si=JZndPXj5P4q95LPj&t=18,https://www.chess.com/game/live/51198047929?username=senseidanya
