Top Theory Speedrun,
https://youtu.be/B7r1bgPEyIQ?si=MfCFVp8egYIq64SQ&t=9,https://www.chess.com/game/live/73972884041?username=frankfurtairport
https://youtu.be/dqYU2XP72pM?si=-4DCN3Y2TcDj1KDk&t=9,https://www.chess.com/game/live/74070015717?username=frankfurtairport
https://youtu.be/O0JmBfMtiWs?si=7rDeDxcAurdLB-ez&t=8,https://www.chess.com/game/live/74074357269?username=frankfurtairport
https://www.chess.com/game/live/74342999351?username=frankfurtairport,https://www.chess.com/game/live/74157584477?username=frankfurtairport
https://youtu.be/f8alAsVJRc8?si=XOZ4_dDYqfVgCIG2&t=25,https://www.chess.com/game/live/74157584477?username=frankfurtairport
https://youtu.be/_X7t6o3o6JM?si=7JNLUUp4QUwhYfDP&t=31,https://www.chess.com/game/live/74937624703?username=frankfurtairport
https://youtu.be/UiNSl_OnvDQ?si=dBXtlTSIOQm0sv-C&t=39,https://www.chess.com/game/live/76489802407?username=frankfurtairport
https://youtu.be/358seoKegqA?si=HDfPACMONh7mXeQh&t=26,https://www.chess.com/game/live/76621176643?username=frankfurtairport
https://youtu.be/G_V3C8LQ_ik?si=Sw3uyYgL3QYUrbt8&t=16,https://www.chess.com/game/live/76834929669?username=frankfurtairport
https://youtu.be/11hlPJYNX_s?si=PhJOuBa1kB7uOi8D&t=13,https://www.chess.com/game/live/76924196069?username=frankfurtairport
https://youtu.be/lryqtSMy4pY?si=s6oXQfO9F6GSgX9g&t=18,https://www.chess.com/game/live/78454210725?username=frankfurtairport
https://youtu.be/dqhX895Md84?si=stW7joEl93fOKlRG&t=10,https://www.chess.com/game/live/79206053879?username=frankfurtairport
https://youtu.be/-FRuDd_oXz4?si=wcvR-jdoBDMPLbNm&t=35,https://www.chess.com/game/live/79776002825?username=frankfurtairport
https://youtu.be/F7UDk49ESWs?si=apsnhTZ6pxkFHvzd&t=36,https://www.chess.com/game/live/80038768749?username=frankfurtairport
https://youtu.be/RzfG5SfKRak?si=R960-GvPtY2_7yUr&t=13,https://www.chess.com/game/live/80640783393?username=frankfurtairport
https://youtu.be/Q0CTfDwnd3A?si=e--utyFai6oHAk-7&t=18,https://www.chess.com/game/live/81415949215?username=frankfurtairport
https://youtu.be/JKxlT73xpYo?si=rLobSp0DqreV1L36&t=96,https://www.chess.com/game/live/81583985935?username=frankfurtairport
https://youtu.be/PmStO-m1Eu4?si=DBFg12rJ0Vz2nKJD&t=13,https://www.chess.com/game/live/82021884419?username=frankfurtairport
https://youtu.be/Ov4J-FZWoQg?si=BFaJUDXsGjPjbJVc&t=9,https://www.chess.com/game/live/82107090859?username=frankfurtairport
https://youtu.be/zEqoGIgzk1E?si=O70JL2WGHbAkieQM&t=11,https://www.chess.com/game/live/82197594871?username=frankfurtairport
https://youtu.be/ecbOBKL_hos?si=iUU2OZb0R2WaFQTz&t=18,https://www.chess.com/game/live/83746771411?username=frankfurtairport
https://youtu.be/ukVf_JfGTOw?si=1P9OaiwDszdW-iA_&t=27,https://www.chess.com/game/live/84778387881?username=frankfurtairport
https://youtu.be/2jXSWOTKx8M?si=TOdUIUT3QnEcfctz&t=13,https://www.chess.com/game/live/85609322225?username=frankfurtairport
https://youtu.be/bFLEuc7G7YA?si=RTPwy_7fI4XxfneD&t=14,https://www.chess.com/game/live/86423391975?username=frankfurtairport
https://youtu.be/tWGrKGoNNEA?si=Bk_86MYmdyEBaF1R&t=13,https://www.chess.com/game/live/87784302445?username=frankfurtairport
https://youtu.be/C6vYlx-lS6g?si=xRSIrk9sfNKvL8kP&t=27,https://www.chess.com/game/live/88753851823?username=frankfurtairport
https://youtu.be/W8YPj9QMtEs?si=71rCjHSjhOjyvJKl&t=13,https://www.chess.com/game/live/89193625349?username=frankfurtairport
https://youtu.be/DnJl1cmihNQ?si=94YJzyEKfr0q-l0H&t=22,https://www.chess.com/game/live/89630466365?username=frankfurtairport
https://youtu.be/DnJl1cmihNQ?si=V-yy8z-Ebd_5sYaF&t=1248,https://www.chess.com/game/live/89632157247?username=frankfurtairport
https://youtu.be/kWk-UW7GdnY?si=5fuT7F8ja-kLh6gr&t=9,https://www.chess.com/game/live/89634631255?username=frankfurtairport
https://youtu.be/vbWQt7Qn_eQ?si=KQdFrzu8PohjwKvh&t=19,https://www.chess.com/game/live/90658151795?username=frankfurtairport
https://youtu.be/ktoa6lk6qNk?si=k_X8ur9vNKmSwEns&t=62,https://www.chess.com/game/live/94808314575?username=frankfurtairport
https://youtu.be/C2unZJEz01o?si=Ciuafl123SukFdSS&t=15,https://www.chess.com/game/live/95415546479?username=frankfurtairport
https://youtu.be/IHjt6amFgyE?si=QcYN8dCJ6uNY-GiV&t=15,https://www.chess.com/game/live/96709152809?username=frankfurtairport
https://youtu.be/Ust1WJO7KQ0?si=4gR4FoxEqfZpR_dO&t=16,https://www.chess.com/game/live/96883833939?username=frankfurtairport
https://youtu.be/srNXYAsaX7I?si=oWxhr7yQkrf513m-&t=14,https://www.chess.com/game/live/97921179821?username=frankfurtairport
https://youtu.be/6WyNj23mrCc?si=LD_OHN-c7gZIC008&t=17,https://www.chess.com/game/live/99306220271?username=frankfurtairport
